date,symbol,original_length,summary_length,compression_ratio,summary
2019-05-15,A,179,179,1.0,"Stocks To Watch: Agilent Technologies Sees Relative Strength Rating Jump To 84 ACB and A among premarket losers Agilent Technologies, Inc. 2019 Q2 - Results - Earnings Call Slides"
2019-05-17,A,15,15,1.0,Bullish Quintet
2019-05-21,A,98,98,1.0,"Bessemer Securities Llc Buys Facebook Inc, Texas Instruments Inc, Bank of America Corporation, ..."
2019-05-22,A,32,32,1.0,Agilent declares $0.164 dividend
2019-05-24,A,59,59,1.0,Tense About Trade War? Follow Goldman With 5 ETF Strategies
2019-06-11,A,135,135,1.0,"FDA OKs Agilent companion diagnostic for Keytruda in HNSCC Barclays bearish on Teva, sees 14% downside risk in premarket analyst action"
2019-06-13,A,54,54,1.0,Why Is Agilent (A) Up 3.9% Since Last Earnings Report?
2019-06-14,A,59,59,1.0,Agilent Announces Receipt of FDA Approval for pharmDX Assay
2019-06-21,A,38,38,1.0,John Templeton's Investment Philosophy
2019-06-28,A,123,123,1.0,"29 Firms Going Ex-Dividend Next Week, Including Comcast, Cisco And JP Morgan Agilent: An Excellent Company At Average Price"
2019-07-05,A,67,67,1.0,Stock Upgrades: Agilent Technologies Shows Rising Relative Strength
2019-07-10,A,95,95,1.0,"Lgt Capital Partners Ltd. Buys UnitedHealth Group Inc, Alphabet Inc, Ross Stores Inc, Sells ..."
2019-07-11,A,123,123,1.0,Silicon Valley Pioneer Keysight Just Moved Into The Buy Zone — But Can It Stay There? Agilent to acquire BioTek for $1.165B
2019-07-12,A,60,60,1.0,"Agilent to Acquire BioTek, Cell Analysis Portfolio to Expand"
2019-07-15,A,106,106,1.0,Agilent: Some Bolt-On M&A To Rejuvenate Growth Wells sees 33% upside in Gilead in premarket analyst action
2019-07-16,A,164,164,1.0,"Harvey Investment Co Llc Buys Fastenal Co, Agilent Technologies Inc, CarMax Inc, Sells Croda ... Oppenheimer likes Millendo Therapeutics in premarket analyst action"
2019-07-24,A,73,73,1.0,Agilent: 2 Decades Of Portfolio Moves Left Investors With A Good Business
2019-07-29,A,88,88,1.0,Tracking William von Mueffling's Cantillon Capital Management Portfolio - Q2 2019 Update
2019-07-30,A,45,45,1.0,"The Truth About Market Timing - July 30, 2019"
2019-08-01,A,61,61,1.0,Acquisition Boosts Exact Sciences' Role in Cancer Diagnostics
2019-08-07,A,67,67,1.0,Agilent Technologies (A) Earnings Expected to Grow: Should You Buy?
2019-08-09,A,90,90,1.0,Agilent Technologies Hitting Lower Rail Of Upwardly Sloped Trend Channel Ahead Of Earnings
2019-08-12,A,58,58,1.0,Agilent (A) Gears Up for Q3 Earnings: What's in the Cards?
2019-08-13,A,169,169,1.0,"Impax Asset Management Group plc Buys Pentair PLC, Agilent Technologies Inc, IQVIA Holdings ... Agilent Q3 2019 Earnings Preview Notable earnings after Wednesday's close"
2019-08-14,A,495,495,1.0,"Agilent Technologies, Inc. (A) CEO Michael McMullen on Q3 2019 Results - Earnings Call Transcript A, CSCO, NTAP and WPG among after hour movers Agilent Technologies (A) Tops Q3 Earnings and Revenue Estimates Agilent up 5% on FQ3 beat, lower end of guidance raise Agilent EPS beats by $0.04, beats on revenue The Dow Jones Industrial Average Will Lose 400 Points On Today's Inverted Yield Curve Wall Street Tumbles Following Yield Curve Inversion Stock Futures Plunge as Recession Fears Intensify"
2019-08-15,A,54,54,1.0,Agilent (A) Earnings and Revenues Beat Estimates in Q3
2019-08-16,A,95,95,1.0,"BlueSpruce Investments, LP Buys Ross Stores Inc, TJX Inc, Comcast Corp, Sells Constellation ..."
2019-08-20,A,257,189,0.7354085603112841,"Fairpointe Capital LLC Buys Agilent Technologies Inc, Magna International Inc, iShares MSCI ... Beaconlight Capital, Llc Buys Fortune Brands Home & Security Inc, Hasbro Inc, KAR Auction ..."
2019-08-21,A,97,97,1.0,"Sit Investment Associates Inc Buys United Technologies Corp, Corning Inc, Comcast Corp, Sells ..."
2019-08-22,A,95,95,1.0,IBD Stock Of The Day Keysight Technologies Hits Buy Zone As Wall Street Cheers 5G-Driven Growth
2019-08-26,A,28,28,1.0,Agilent completes BioTek buy
2019-09-03,A,29,29,1.0,Agilent readies debt offering
2019-09-05,A,30,30,1.0,Agilent launches debt offering
2019-09-10,A,275,275,1.0,Agilent Technologies (A) is a Great Momentum Stock: Should You Buy? Agilent Prices Public Offering of $500M Senior Notes Due 2029 Trimble Strengthens Forestry Division With 3LOG Acquisition Agilent Technologies: Buy For Great Growth In The Pharmaceutical Development Business
2019-09-12,A,91,91,1.0,"Agilent Technologies Sees RS Rating Climb To 74 Stocks For You To Swing-Trade: TTWO, A, ROP"
2019-09-13,A,65,65,1.0,Agilent (A) Up 11.5% Since Last Earnings Report: Can It Continue?
2019-09-16,A,38,38,1.0,What Makes Agilent (A) a New Buy Stock
2019-09-17,A,62,62,1.0,"Simple Market Timing Strategies That Work - September 17, 2019"
2019-09-18,A,32,32,1.0,Agilent declares $0.164 dividend
2019-09-19,A,58,58,1.0,Stocks With Rising Relative Strength: Agilent Technologies
2019-09-20,A,57,57,1.0,4 Stocks to Focus on Global Biotechnology Reagents Market
2019-09-27,A,92,92,1.0,"50 Firms Going Ex-Dividend Next Week, Including Cardinal Health, JP Morgan Chase And Comcast"
2019-10-07,A,158,85,0.5379746835443038,Lgt Capital Partners Ltd. Bruker To Buy Freiberg Instruments' Magnettech EPR Business
2019-10-10,A,124,124,1.0,"Trimble Strengthens Agriculture Portfolio with Weedseeker 2 How to Time the Markets Like an Investing Pro - October 10, 2019"
2019-10-11,A,56,56,1.0,Cypress Looks to Gain Traction With New USB-C Controller
2019-10-14,A,120,120,1.0,Dividend Growth Stocks Of Tomorrow: Agilent Technologies Inc. Stocks With Rising Relative Strength: Agilent Technologies
2019-10-16,A,96,96,1.0,"Parnassus Endeavor Fund Buys Alaska Air Group Inc, Arista Networks Inc, Charles Schwab Corp, ..."
2019-10-17,A,52,52,1.0,Parnassus Endeavor Fund Buys 4 Stocks in 'rd Quarter
2019-10-21,A,50,50,1.0,Oakmark Equity And Income Fund: Third Quarter 2019
2019-10-22,A,160,160,1.0,"5G Wireless Networks Give This Communications Test Gear Maker A Lift Private Bank & Trust Co Buys Agilent Technologies Inc, Alibaba Group Holding, Icon PLC, ..."
2019-10-23,A,176,172,0.9772727272727273,"Clean Yield Group Buys Healthcare Trust of America Inc, Lakeland Financial Corp, U.S. KraneShares Joins with Nasdaq Dorsey Wright to Launch KraneShares China Rotation Model"
2019-10-24,A,57,57,1.0,Electronics Testing Equipment Outlook: Solid Demand Ahead
2019-11-01,A,58,58,1.0,"When Does Market Timing Actually Work? - November 01, 2019"
2019-11-07,A,281,109,0.3879003558718861,"TD Asset Management Inc Buys TC Energy Corp, iShares iBoxx $ High Yield Corporate Bond ETF, ... TDAM USA Inc."
2019-11-12,A,111,111,1.0,"Agilent Technologies Sees RS Rating Improve To 76 Royal London Asset Management Ltd Buys Apple Inc, Amazon. ..."
2019-11-13,A,98,98,1.0,"Epoch Investment Partners, Inc. Buys KKR Inc, Coca-Cola Co, Huntington Ingalls Industries Inc, ..."
2019-11-14,A,80,80,1.0,Stocks Showing Rising Market Leadership: Agilent Technologies Earns 82 RS Rating
2019-11-15,A,312,308,0.9871794871794872,"Fairpointe Capital LLC Buys Adtalem Global Education Inc, Corning Inc, Agilent Technologies ... PerkinElmer: An Excellent Opportunity Stifel likes Illumina in premarket analyst action Market-Beating Sector ETFs Year to Date Tiemann Investment Advisors, Llc Buys SPDR Barclays Convertible Securities ETF, D.R."
2019-11-18,A,67,67,1.0,Agilent Technologies (A) Earnings Expected to Grow: Should You Buy?
2019-11-20,A,31,31,1.0,Agilent declares $0.18 dividend
2019-11-21,A,216,216,1.0,"Agilent Is Up Almost 20% Since Its Last Earnings Report: Assessing If The Momentum Continues Yes, You Can Time the Market. Find out How - November 21, 2019 The Top Large-Cap Sectors, Industries, And Stocks To Buy Now"
2019-11-22,A,137,137,1.0,Earnings Watch: PANW Stock Rallies Ahead Of Results; Retail Leader Forms Bullish Base Agilent on watch after positive EU drug development
2019-11-25,A,441,414,0.9387755102040817,"(A) CEO Mike McMullen on Q4 2019 Results - Earnings Call Transcript Dow Jones Futures: Stock Market Fear Gauge Hits New Low; Palo Alto Networks, Nutanix, Ambarella, Hewlett Packard Enterprise, ChemoCentryx Are Big Movers Late Agilent Technologies (A) Surpasses Q4 Earnings and Revenue Estimates Agilent Technologies, Inc. 2019 Q4 - Results - Earnings Call Presentation Agilent EPS beats by $0.03, misses on revenue"
2019-11-26,A,57,57,1.0,Agilent (A) Earnings and Revenues Surpass Estimates in Q4
2019-12-04,A,105,105,1.0,Agilent Technologies Inc (A) Presents at The 31st Annual Piper Jaffray Healthcare Conference (Transcript)
2019-12-05,A,101,101,1.0,"Agilent Technologies, Inc. (A) Management Presents at Evercore ISI HealthCONx Conference (Transcript)"
2019-12-06,A,32,32,1.0,Best Large-Cap Stocks To Buy Now
2019-12-09,A,140,84,0.6,"Pershing Square Capital Management, L.P. Agilent up 4% after hours on Pershing stake"
2019-12-10,A,102,102,1.0,Bill Ackman's Pershing Square Packs Into Agilent Wall Street Breakfast: Trade Deadline And Fed Meeting
2019-12-12,A,82,82,1.0,"Nomura Holdings Inc Buys Aramark, AT&T Inc, Emerson Electric Co, Sells Amazon. ..."
2019-12-13,A,181,181,1.0,"Agilent Technologies Inc (A) CEO and President Michael R. Mcmullen Sold $4 million of Shares Live Nation Entertainment, Zebra Technologies, STERIS Set to Join S&P 5……; Others to ..."
2019-12-17,A,64,64,1.0,"The Market Timing Secrets No One Talks About - December 17, 2019"
